Short reference,Type,Region,Iconic,Patronymic,Papponymic,Title,Divider,Divider type,Border,Border type,Orientation,Object shape,Material,Perforation,Yahwistic name,Yahwistic patronym,Elohistic name,Elohistic patronym,Belonging mark (lamed),Filiation mark (bn/bt),Provenance,Size range
Mazar & Livyatan Ben-Arie 2015: n. B28,,Judah,,,,,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,,,,,FALSE,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B29,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B30,,Judah,,,,,,,TRUE,Double-line,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B31,,Judah,,,,,,,TRUE,Single-line,,,,,,,,,TRUE,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B32,,Judah,,,,,,,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B33,,Judah,,,,,TRUE,Double-line,TRUE,Single-line,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B34,,Judah,,,,,,,TRUE,Double-line,,,,,,,,,TRUE,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B35,,Judah,FALSE,,,,TRUE,Double-line,,,Horizontal,,,,,,,,TRUE,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B36,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B37,,Judah,FALSE,TRUE,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,,TRUE,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B38,,Judah,,,,,,,TRUE,Single-line,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B39,,Judah,,,,,TRUE,Double-line,TRUE,Single-line,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B40,,Judah,,,,,,,TRUE,Single-line,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B41,,Judah,,,,,TRUE,Ladder pattern,TRUE,Single-line,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B42,,Judah,,,,,TRUE,Double-line,TRUE,Single-line,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B43,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B44,,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,,,Horizontal,,,,,TRUE,,,,TRUE,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B45,,Judah,,,,,,,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B46,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B47,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B48,,Judah,FALSE,,,,TRUE,Double-line,TRUE,Single-line,Vertical,,,,,,,,TRUE,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B49,,Judah,FALSE,TRUE,,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B50,,Judah,,TRUE,FALSE,FALSE,TRUE,Double-line,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B51,,Judah,,,,,,,TRUE,Single-line,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B52,,Judah,,,,,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B53,,Judah,,,,,TRUE,Double-line,TRUE,Single-line,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B59,Plain iconic,Judah,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,,,,FALSE,,FALSE,,TRUE,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B62,,Judah,TRUE,,,,,,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B63,,Judah,,,,,,,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B64,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B65,Plain iconic,Judah,TRUE,,,,FALSE,,TRUE,Double-line,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2018: n. B1,Plain iconic,Judah,TRUE,TRUE,FALSE,TRUE,FALSE,,TRUE,Triple-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Jerusalem,
CSAPI Jerusalem 226,,Judah,TRUE,,,,,,TRUE,,,,,,,,,,,,Jerusalem,
CSAPI Jerusalem 296,,Judah,TRUE,,,,,,TRUE,Single-line,,,,,,,,,,,Jerusalem,
CSAPI Jerusalem 297,Bipartite,Judah,FALSE,,,,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,,,,,,,Jerusalem,
CSAPI Jerusalem 298,Bipartite,Judah,FALSE,,,,TRUE,Double-line,,,Horizontal,,,,,,,,,,Jerusalem,
CSAPI Jerusalem 299,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,,,,,,,,,,Jerusalem,
CSAPI Jerusalem 300,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,Jerusalem,
